date,keystrokes
1475092391,0
1475092391,0
1475092400,0
1475092400,0
1475092409,0
1475092409,0
1475092418,0
1475092418,0
1475092427,0
1475092427,0
1475092436,0
1475092436,0
1475092446,0
1475092446,0
1475092455,0
1475092455,0
1475092464,0
1475092464,0
1475092473,0
1475092473,0
1475092482,0
1475092482,0
1475092491,0
1475092491,0
1475092500,0
1475092500,0
1475096105,0
1475096105,0
1475096114,0
1475096114,0
1475096123,0
1475096123,0
1475096132,0
1475096132,0
1475096141,0
1475096141,0
1475096150,0
1475096150,0
1475096159,0
1475096159,0
1475096168,0
1475096168,0
1475096177,0
1475096177,0
1475096186,0
1475096186,0
1475096195,0
1475096195,0
1475096204,0
1475096204,0
1475096213,0
1475096213,0
1475096222,0
1475096222,0
1475096232,0
1475096232,0
1475096241,0
1475096241,0
1475096250,0
1475096250,0
1475096259,0
1475096259,0
1475096268,0
1475096268,0
1475096277,0
1475096277,0
1475096286,0
1475096286,0
1475096295,0
1475096295,0
1475096304,0
1475096304,0
1475096313,0
1475096313,0
1475096322,0
1475096322,0
1475096331,0
1475096331,0
1475096340,0
1475096340,0
1475096350,0
1475096350,0
1475096359,0
1475096359,0
1475096368,0
1475096368,0
1475096377,0
1475096377,0
1475096386,0
1475096386,0
1475096395,0
1475096395,0
1475096404,0
1475096404,0
1475096413,0
1475096413,0
1475096422,0
1475096422,0
1475096431,0
1475096431,0
1475096440,0
1475096440,0
1475096449,0
1475096449,0
1475096458,0
1475096458,0
1475096468,0
1475096468,0
1475096477,0
1475096477,0
1475096486,0
1475096486,0
1475096495,0
1475096495,0
1475096504,0
1475096504,0
1475096513,0
1475096513,0
1475096522,0
1475096522,0
1475096531,0
1475096531,0
1475096540,0
1475096540,0
1475096549,0
1475096549,0
1475096558,0
1475096558,0
1475096567,0
1475096567,0
1475096576,0
1475096576,0
1475096586,0
1475096586,0
1475096595,0
1475096595,0
1475096604,0
1475096604,0
1475096613,0
1475096613,0
1475096622,0
1475096622,0
1475096631,0
1475096631,0
1475096640,0
1475096640,0
1475096649,0
1475096649,0
1475096658,0
1475096658,0
1475096667,0
1475096667,0
1475096676,0
1475096676,0
1475096685,0
1475096685,0
1475096694,0
1475096694,0
1475096703,0
1475096703,0
1475096713,0
1475096713,0
1475096722,0
1475096722,0
1475096731,0
1475096731,0
1475096740,0
1475096740,0
1475096749,0
1475096749,0
1475096758,0
1475096758,0
1475096767,0
1475096767,0
1475096776,0
1475096776,0
1475096785,0
1475096785,0
1475096794,0
1475096794,0
1475096803,0
1475096803,0
1475096812,0
1475096812,0
1475096821,0
1475096821,0
1475096830,0
1475096830,0
1475096839,0
1475096839,0
1475096849,0
1475096849,0
1475096858,0
1475096858,0
1475096867,0
1475096867,0
1475096876,0
1475096876,0
1475096885,0
1475096885,0
1475096894,0
1475096894,0
1475096903,0
1475096903,0
1475096912,0
1475096912,0
1475096921,0
1475096921,0
1475096930,0
1475096930,0
1475096939,0
1475096939,0
1475096948,0
1475096948,0
1475096957,0
1475096957,0
1475096966,0
1475096966,0
1475096976,0
1475096976,0
1475096985,0
1475096985,0
1475096994,0
1475096994,0
1475097003,0
1475097003,0
1475097012,0
1475097012,0
1475097021,0
1475097021,0
1475097030,0
1475097030,0
1475097039,0
1475097039,0
1475097048,0
1475097048,0
1475097057,0
1475097057,0
1475097066,0
1475097066,0
1475097075,0
1475097075,0
1475097085,0
1475097085,0
1475097094,0
1475097094,0
1475097103,0
1475097103,0
1475097112,0
1475097112,0
1475097121,0
1475097121,0
1475097130,0
1475097130,0
1475097139,0
1475097139,0
1475097148,0
1475097148,0
1475097157,0
1475097157,0
1475097166,0
1475097166,0
1475097175,0
1475097175,0
1475097184,0
1475097184,0
1475097193,0
1475097193,0
1475097202,0
1475097202,0
1475097212,0
1475097212,0
1475097221,0
1475097221,0
1475097230,0
1475097230,0
1475097239,0
1475097239,0
1475097248,0
1475097248,0
1475097257,0
1475097257,0
1475097266,0
1475097266,0
1475097275,0
1475097275,0
1475097284,0
1475097284,0
1475097293,0
1475097293,0
1475097302,0
1475097302,0
1475097311,0
1475097311,0
1475097320,0
1475097320,0
1475097329,0
1475097329,0
1475097339,0
1475097339,0
1475098944,0
1475098944,0
1475098953,0
1475098953,0
1475098962,0
1475098962,0
1475098971,0
1475098971,0
1475100180,0
1475100180,0
1475100189,0
1475100189,0
1475100198,0
1475100198,0
1475100207,0
1475100207,0
1475101415,0
1475101415,0
1475101424,0
1475101424,0
1475101433,0
1475101433,0
1475101442,0
1475101442,0
1475101451,0
1475101451,0
1475102659,0
1475102659,0
1475102668,0
1475102668,0
1475102678,0
1475102678,0
1475102687,0
1475102687,0
1475103309,0
1475103309,0
1475103318,0
1475103318,0
1475103327,0
1475103327,0
1475103336,0
1475103336,0
1475104281,0
1475104281,0
1475104290,0
1475104290,0
1475104299,0
1475104299,0
1475104308,0
1475104308,0
1475104317,0
1475104317,0
1475104326,0
1475104326,0
1475104335,0
1475104335,0
1475105035,0
1475105035,0
1475105044,0
1475105044,0
1475105053,0
1475105053,0
1475105062,0
1475105062,0
1475105972,0
1475105972,0
1475105981,0
1475105981,0
1475108419,0
1475108419,0
1475108428,0
1475108428,0
1475108437,0
1475108437,0
1475108446,0
1475108446,0
1475111697,0
1475111697,0
1475111706,0
1475111706,0
1475111715,0
1475111715,0
1475111725,0
1475111725,0
1475114982,0
1475114982,0
1475114991,0
1475114991,0
1475115000,0
1475115000,0
1475115009,0
1475115009,0
1475115290,0
1475115290,0
1475115299,0
1475115299,0
1475115308,0
1475115308,0
1475115317,0
1475115317,0
1475118575,0
1475118575,0
1475118584,0
1475118584,0
1475118593,0
1475118593,0
1475118602,0
1475118602,0
1475121863,0
1475121863,0
1475121873,0
1475121873,0
1475121882,0
1475121882,0
1475121891,0
1475121891,0
1475125155,0
1475125155,0
1475125164,0
1475125164,0
1475125173,0
1475125173,0
1475125182,0
1475125182,0
1475128450,0
1475128450,0
1475128459,0
1475128459,0
1475128468,0
1475128468,0
1475128477,0
1475128477,0
1475131744,0
1475131744,0
1475131753,0
1475131753,0
1475131762,0
1475131762,0
1475131771,0
1475131771,0
1475133722,0
1475133722,0
1475133731,0
1475133731,0
1475133741,0
1475133741,0
1475133750,0
1475133750,0
1475133759,0
1475133759,0
1475133768,0
1475133768,0
1475133777,0
1475133777,0
1475133813,0
1475133813,0
1475133822,0
1475133822,0
1475133831,0
1475133831,0
1475133840,0
1475133840,0
1475133865,0
1475133865,0
1475133874,0
1475133874,0
1475133883,0
1475133883,0
1475133893,0
1475133893,0
1475133902,0
1475133902,0
1475133911,0
1475133911,0
1475133920,0
1475133920,0
1475133929,0
1475133929,0
1475133955,0
1475133955,0
1475133964,0
1475133964,0
1475133973,0
1475133973,0
